topic-1,topic-2,topic-3
vote,barackobama,voting
votejoebiden,campaign,year
electionday,cnn,trumpsupporter
voter,steal,covid
votedonaldtrump,speech,trump
party,hillaryclinton,voter
ballot,pointer,rally
electoral,rally,family
cast,hammer,lady
poll,economy,black
black,sweet,votejoebiden
democracy,bush,poll
life,added,racist
attorneygeneral,crowd,believe
care,msnbc,campaign
change,news,plan
victory,miss,votedonaldtrump
bidenharris,administration,life
enough,running,china
nation,change,lie
friend,fire,world
voice,job,friend
mail,anthonyfauci,guy
medium,bidenharris,care
remember,speaking,death
help,watching,tax
electoralcollege,care,stop
future,cut,hate
counting,whitehouse,job
voteblue,plan,office
