topic-1,topic-2,topic-3,topic-4,topic-5
vote,kamalaharris,barackobama,voting,year
votejoebiden,wise,campaign,wise,trumpsupporter
electionday,cover,cnn,cover,covid
voter,foreign,steal,foreign,trump
party,votejoebiden,speech,voter,rally
votedonaldtrump,bidenharris,hillaryclinton,poll,lady
electoral,vicepresident,pointer,party,votejoebiden
ballot,blue,hammer,bidenharris,campaign
cast,change,sweet,voteblue,plan
poll,legend,added,friend,voter
democracy,lady,bush,ballot,family
black,farm,crowd,black,lie
attorneygeneral,electionday,economy,family,china
life,elect,msnbc,block,world
victory,boost,news,stop,racist
bidenharris,woman,miss,mail,believe
nation,social,administration,caravan,death
enough,troll,running,conservative,black
change,play,fire,racist,life
friend,berniesanders,speaking,line,votedonaldtrump
care,ticket,birthdayparty,registered,job
mail,best,listening,votedonaldtrump,care
voice,msnbc,cut,guy,tax
electoralcollege,future,size,though,hate
remember,home,watching,white,war
counting,help,anthonyfauci,may,hold
line,ballot,former_president,best,poll
govote,luck,change,point,guy
voteblue,whitehouse,superspreader,favorite,old
help,opportunity,remember,post,office
