topic-1,topic-2,topic-3,topic-4,topic-5,topic-6
vote,barackobama,voting,year,trumpsupporter,lady
votejoebiden,cnn,wise,covid,racist,votejoebiden
electionday,campaign,cover,trump,black,campaign
voter,steal,foreign,rally,video,job
votedonaldtrump,speech,voter,plan,blacklivesmatter,woman
party,hillaryclinton,poll,china,white,change
ballot,pointer,bidenharris,lie,hate,electionday
electoral,hammer,party,world,feel,legend
black,sweet,voteblue,family,gun,famous
poll,added,black,campaign,police,fame
cast,bush,friend,voter,stupid,brave
democracy,crowd,ballot,death,literally,congratulation
life,msnbc,family,tax,riot,government
attorneygeneral,miss,racist,votedonaldtrump,friend,video
bidenharris,economy,stop,old,block,artist
care,news,block,believe,bad,fan
friend,running,votedonaldtrump,life,crazy,rally
victory,administration,guy,job,try,music
change,change,woman,war,boarding,story
enough,fire,mail,hold,woman,bidenharris
nation,bidenharris,conservative,office,believe,twitter
mail,speaking,white,care,something,favorite
voice,birthdayparty,line,poll,caravan,moment
remember,listening,caravan,whitehouse,cop,singing
help,choose,registered,michigan,either,student
medium,watching,best,guy,getting,enemy
electoralcollege,cut,believe,black,stay,cantar
voteblue,size,may,doesnt,violence,join
line,former_president,point,votejoebiden,truck,swift
future,black,though,fact,stop,minute
